parent class,rdfs:label,IRI
Observable entity (observable entity),Jebsen-Taylor hand function test score (observable entity),http://snomed.info/id/446055005
Observable entity (observable entity),Marks and Mathews fear questionnaire global phobia rating (observable entity),http://snomed.info/id/445128006
Observable entity (observable entity),Length of wound (observable entity),http://snomed.info/id/401238003
Observable entity (observable entity),"Immune cytolysis, function (observable entity)",http://snomed.info/id/29759001
Observable entity (observable entity),"High altitude acclimation, function (observable entity)",http://snomed.info/id/48237003
Observable entity (observable entity),Color of skin (observable entity),http://snomed.info/id/364533002
Observable entity (observable entity),Work ability index score (observable entity),http://snomed.info/id/446059004
Observable entity (observable entity),Location of malignant melanoma in specimen with uninvolved deep margin (observable entity),http://snomed.info/id/424949006
Observable entity (observable entity),Patient Global Impression of Improvement score (observable entity),http://snomed.info/id/763260009
Observable entity (observable entity),Location of tumor in relation to closest lateral margin (observable entity),http://snomed.info/id/406013004
Observable entity (observable entity),Mental function (observable entity),http://snomed.info/id/285231000
Observable entity (observable entity),"Illumination, function (observable entity)",http://snomed.info/id/3384007
Observable entity (observable entity),Denver Developmental Screening Test Second Edition score (observable entity),http://snomed.info/id/718236005
Observable entity (observable entity),Fibrinolysis (observable entity),http://snomed.info/id/385538006
Observable entity (observable entity),Feature of walking balance (observable entity),http://snomed.info/id/363841003
Observable entity (observable entity),Balance observable (observable entity),http://snomed.info/id/363838007
Observable entity (observable entity),Feature of turning balance when walking (observable entity),http://snomed.info/id/363842005
Observable entity (observable entity),Width of wound (observable entity),http://snomed.info/id/401239006
Observable entity (observable entity),"Dialysis secretion of vitreous humor, function (observable entity)",http://snomed.info/id/20947001
Observable entity (observable entity),Temporal measure of symptom (observable entity),http://snomed.info/id/308928005
Observable entity (observable entity),Hemoglobin A region electrophoresis pattern (observable entity),http://snomed.info/id/116718006
Observable entity (observable entity),Ability to clean needles (observable entity),http://snomed.info/id/713980001
Observable entity (observable entity),Salivary apparatus observable (observable entity),http://snomed.info/id/364134001
Observable entity (observable entity),Vomit appearance (observable entity),http://snomed.info/id/167826004
Observable entity (observable entity),Target weight gain per day (observable entity),http://snomed.info/id/868242008
Observable entity (observable entity),Medical record number (observable entity),http://snomed.info/id/398225001
Observable entity (observable entity),Status of regression of tumor (observable entity),http://snomed.info/id/396432002
Observable entity (observable entity),Order control (observable entity),http://snomed.info/id/422392005
Observable entity (observable entity),"Inhibition, function (observable entity)",http://snomed.info/id/61511001
Observable entity (observable entity),National Institutes of Health stroke scale score (observable entity),http://snomed.info/id/450743008
Observable entity (observable entity),Multiple birth order (observable entity),http://snomed.info/id/722250005
Observable entity (observable entity),"Postprandial gastric acid secretory response, function (observable entity)",http://snomed.info/id/8586007
Observable entity (observable entity),Thermoregulation status (observable entity),http://snomed.info/id/405014000
Observable entity (observable entity),Specimen laterality (observable entity),http://snomed.info/id/384727002
Observable entity (observable entity),Behavior Problem Checklist score (observable entity),http://snomed.info/id/716607008
Observable entity (observable entity),Isometric effort (observable entity),http://snomed.info/id/258103008
Observable entity (observable entity),"Oral cavity, dental / salivary observable (observable entity)",http://snomed.info/id/364110006
Observable entity (observable entity),Degree of physical and psychological healing following burn (observable entity),http://snomed.info/id/439228009
Observable entity (observable entity),Endocrine test finding (observable entity),http://snomed.info/id/304599007
Observable entity (observable entity),Eligibility to be a donor (observable entity),http://snomed.info/id/441312003
Observable entity (observable entity),Opiate tolerance (observable entity),http://snomed.info/id/733462007
Observable entity (observable entity),Health status (observable entity),http://snomed.info/id/406221003
Observable entity (observable entity),Organ AND/OR tissue involved by lymphoma (observable entity),http://snomed.info/id/406093003
Observable entity (observable entity),Type of fetal tissue present in specimen (observable entity),http://snomed.info/id/405995002
Observable entity (observable entity),Cardiovascular Limitations and Symptoms Profile shortness of breath score (observable entity),http://snomed.info/id/763074005
Observable entity (observable entity),Biliary tract observable (observable entity),http://snomed.info/id/364163003
Observable entity (observable entity),Status of surgical spermatic cord margin involvement by tumor (observable entity),http://snomed.info/id/396776008
Observable entity (observable entity),Test with result pending (observable entity),http://snomed.info/id/442376007
Observable entity (observable entity),"Tear production, function (observable entity)",http://snomed.info/id/64702000
Observable entity (observable entity),Ability to ride horse (observable entity),http://snomed.info/id/715004008
Observable entity (observable entity),Cardiovascular orifice observable (observable entity),http://snomed.info/id/399231008
Observable entity (observable entity),Symbol Digit Modalities Test score (observable entity),http://snomed.info/id/718387005
Observable entity (observable entity),Skin condition (observable entity),http://snomed.info/id/422000003
Observable entity (observable entity),Discourse abilities profile score (observable entity),http://snomed.info/id/716802000
Observable entity (observable entity),Trauma Screening Questionnaire score (observable entity),http://snomed.info/id/770539002
Observable entity (observable entity),Lymphedema quality of life tool (leg) score (observable entity),http://snomed.info/id/705035005
Observable entity (observable entity),Foot Function Index total score (observable entity),http://snomed.info/id/763116001
Observable entity (observable entity),Phonological Awareness Profile score (observable entity),http://snomed.info/id/716705008
Observable entity (observable entity),Skills relating to cognitive functions (observable entity),http://snomed.info/id/312022005
Observable entity (observable entity),Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Footwear total score (observable entity),http://snomed.info/id/764894008
Observable entity (observable entity),Ability to comply with treatment (observable entity),http://snomed.info/id/304897000
Observable entity (observable entity),Percentage of sarcomatoid element in tumor (observable entity),http://snomed.info/id/399653000
Observable entity (observable entity),Color of exudate (observable entity),http://snomed.info/id/441280001
Observable entity (observable entity),Wound observable (observable entity),http://snomed.info/id/364554009
Observable entity (observable entity),Turbidity of fluid (observable entity),http://snomed.info/id/250433008
Observable entity (observable entity),Activity (observable entity),http://snomed.info/id/257733005
Observable entity (observable entity),Child and Adolescent Scale of Participation total summary score (observable entity),http://snomed.info/id/725831006
Observable entity (observable entity),"Respiratory rhythm, function (observable entity)",http://snomed.info/id/48064009
Observable entity (observable entity),"Dialysis secretion of aqueous humor, function (observable entity)",http://snomed.info/id/53060006
Observable entity (observable entity),Date of last oral examination (observable entity),http://snomed.info/id/840644009
Observable entity (observable entity),Number of tumor nodules (observable entity),http://snomed.info/id/405930005
Observable entity (observable entity),Social group (observable entity),http://snomed.info/id/160481000
Observable entity (observable entity),"Edition of American Joint Commission on Cancer, Cancer Staging Manual used for TNM staging (observable entity)",http://snomed.info/id/443941007
Observable entity (observable entity),Ability to perform breathing functions (observable entity),http://snomed.info/id/288842000
Observable entity (observable entity),Neurological status (observable entity),http://snomed.info/id/405020004
Observable entity (observable entity),"Resistance to infection, function (observable entity)",http://snomed.info/id/38186005
Observable entity (observable entity),Device observable (observable entity),http://snomed.info/id/408699006
Observable entity (observable entity),Skin observable (observable entity),http://snomed.info/id/364528001
