Display,OBOID
rice bacterial disease,http://purl.obolibrary.org/obo/PDO_0000003
rice viral disease,http://purl.obolibrary.org/obo/PDO_0000007
rice bacterial blight disease,http://purl.obolibrary.org/obo/PDO_0000014
rice bacterial leaf streak disease,http://purl.obolibrary.org/obo/PDO_0000019
rice blast fungal disease,http://purl.obolibrary.org/obo/PDO_0000031
rice brown spot fungal disease,http://purl.obolibrary.org/obo/PDO_0000033
rice false smut fungal disease,http://purl.obolibrary.org/obo/PDO_0000041
rice leaf scald fungal disease,http://purl.obolibrary.org/obo/PDO_0000047
rice narrow brown leaf spot fungal disease,http://purl.obolibrary.org/obo/PDO_0000049
rice sheath blight fungal disease,http://purl.obolibrary.org/obo/PDO_0000051
rice sheath rot fungal disease,http://purl.obolibrary.org/obo/PDO_0000053
rice stem rot fungal disease,http://purl.obolibrary.org/obo/PDO_0000059
rice fungal disease,http://purl.obolibrary.org/obo/PDO_0000081
rice grassy stunt viral disease,http://purl.obolibrary.org/obo/PDO_0000123
rice rugged stunt viral disease,http://purl.obolibrary.org/obo/PDO_0000126
rice yellow dwarf phytoplasma disease,http://purl.obolibrary.org/obo/PDO_0000129
rice tungro viral disease,http://purl.obolibrary.org/obo/PDO_0000131
rice bakanae fungal disease,http://purl.obolibrary.org/obo/PDO_0000168
rice phytoplasma disease,http://purl.obolibrary.org/obo/PDO_0000170
RiceDO Top,http://purl.org/ricedo#RiceDO_000001
abnormality,http://purl.org/ricedo#RiceDO_000002
pest,http://purl.org/ricedo#RiceDO_000003
pest damage,http://purl.org/ricedo#RiceDO_000004
plant abnormality part,http://purl.org/ricedo#RiceDO_000005
rice disease,http://purl.org/ricedo#RiceDO_000006
rice growth stage,http://purl.org/ricedo#RiceDO_000007
rice growth stage group,http://purl.org/ricedo#RiceDO_000008
symptom characteristic,http://purl.org/ricedo#RiceDO_000009
transmission,http://purl.org/ricedo#RiceDO_000010
color abnormality,http://purl.org/ricedo#RiceDO_000011
shape abnormality,http://purl.org/ricedo#RiceDO_000012
symptom abnormality,http://purl.org/ricedo#RiceDO_000013
insect,http://purl.org/ricedo#RiceDO_000014
insect damage,http://purl.org/ricedo#RiceDO_000015
leaf,http://purl.org/ricedo#RiceDO_000016
neck,http://purl.org/ricedo#RiceDO_000017
node,http://purl.org/ricedo#RiceDO_000018
panicle,http://purl.org/ricedo#RiceDO_000019
root,http://purl.org/ricedo#RiceDO_000020
seedling,http://purl.org/ricedo#RiceDO_000021
spikelet,http://purl.org/ricedo#RiceDO_000022
stem,http://purl.org/ricedo#RiceDO_000023
tiller,http://purl.org/ricedo#RiceDO_000024
transmissible rice disease,http://purl.org/ricedo#RiceDO_000026
flowering,http://purl.org/ricedo#RiceDO_000027
maturity,http://purl.org/ricedo#RiceDO_000028
panicle initiation,http://purl.org/ricedo#RiceDO_000029
tillering,http://purl.org/ricedo#RiceDO_000030
transplanting,http://purl.org/ricedo#RiceDO_000031
flowering to maturity,http://purl.org/ricedo#RiceDO_000032
tillering to maturity,http://purl.org/ricedo#RiceDO_000033
transplanting to flowering,http://purl.org/ricedo#RiceDO_000034
transplanting to maturity,http://purl.org/ricedo#RiceDO_000035
transplanting to panicle intiation,http://purl.org/ricedo#RiceDO_000036
transplanting to tillering,http://purl.org/ricedo#RiceDO_000037
dry on leaf,http://purl.org/ricedo#RiceDO_000038
lesion on leaf,http://purl.org/ricedo#RiceDO_000039
lesion on neck,http://purl.org/ricedo#RiceDO_000040
lesion on sheath,http://purl.org/ricedo#RiceDO_000041
