Class Name,SubClass Of
rice bacterial disease,RiceDO-Version2.RiceDO_000006
rice viral disease,RiceDO-Version2.RiceDO_000006
rice bacterial blight disease,obo.PDO_0000003 and RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000034) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000062)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000069)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000070)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000038 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000044 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000044 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000120) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice bacterial leaf streak disease,obo.PDO_0000003 and RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000034) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000072)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000116)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000044 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000078)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice blast fungal disease,obo.PDO_0000081 and RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000034) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000040 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000040 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000058) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000087)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000087)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000063) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000087)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053 & RiceDO-Version2.RiceDO_000058) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000101) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000018)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000099) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000019)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000027) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000112) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000019)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000093) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000021)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000092) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000018)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice brown spot fungal disease,obo.PDO_0000081 and (abnormalityGroup some RiceDO-Version2.RiceDO_000035) and (abnormalityGroup some RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000080) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000088)) and (abnormalityGroup some RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000057 & RiceDO-Version2.RiceDO_000063) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000085 & RiceDO-Version2.RiceDO_000091)) and (abnormalityGroup some RiceDO-Version2.RiceDO_000046 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000079) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice false smut fungal disease,obo.PDO_0000081 and (abnormalityGroup some RiceDO-Version2.RiceDO_000032) and (abnormalityGroup some RiceDO-Version2.RiceDO_000045 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000053 & RiceDO-Version2.RiceDO_000054 & RiceDO-Version2.RiceDO_000071 & RiceDO-Version2.RiceDO_000072 & RiceDO-Version2.RiceDO_000073 & RiceDO-Version2.RiceDO_000078) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000022)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice leaf scald fungal disease,obo.PDO_0000081 and RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000037) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000039 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000058) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000086 & RiceDO-Version2.RiceDO_000091)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000039 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000059) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000088)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000057) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000031) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000093) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000131 & RiceDO-Version2.RiceDO_000140)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice narrow brown leaf spot fungal disease,obo.PDO_0000081 and RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000033) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000042 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055) & RiceDO-Version2.RiceDO_000151.some(RiceDO-Version2.RiceDO_000030)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000043 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000057 & RiceDO-Version2.RiceDO_000059)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000059 & RiceDO-Version2.RiceDO_000078) & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000090) & RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000111) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000135)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
rice sheath blight fungal disease,obo.PDO_0000081 and RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000033) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000039 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000055 & RiceDO-Version2.RiceDO_000065)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000041 & RiceDO-Version2.RiceDO_000149.some(RiceDO-Version2.RiceDO_000069)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000041 & RiceDO-Version2.RiceDO_000152.some(RiceDO-Version2.RiceDO_000086 & RiceDO-Version2.RiceDO_000091)) & RiceDO-Version2.RiceDO_000147.some(RiceDO-Version2.RiceDO_000155.some(RiceDO-Version2.RiceDO_000097 & RiceDO-Version2.RiceDO_000120) & RiceDO-Version2.RiceDO_000156.some(RiceDO-Version2.RiceDO_000016 & RiceDO-Version2.RiceDO_000135)) and (hasTransmission some RiceDO-Version2.RiceDO_000052)
